ND_ID;Assembly Accession;Annotation Count Gene Non-coding;Annotation Count Gene Protein-coding
ND_NC1821;GCA_033897395.1;88;4177
ND_NC1822;GCA_033897465.1;90;4073
ND_NC1823;GCA_033897485.1;88;4192
ND_NC1824;GCA_033897505.1;87;4143
ND_NC1825;GCA_033897525.1;98;4312
ND_NC1826;GCA_033897545.1;86;4028
ND_NC1827;GCA_033897565.1;96;4336
ND_NC1828;GCA_033897645.1;93;4040
ND_NC1829;GCA_033897665.1;86;4038
ND_NC1830;GCA_033897695.1;87;4242
ND_NC1831;GCA_033897825.1;95;4235
ND_NC1832;GCA_033897865.1;85;4181
ND_NC1833;GCA_033897905.1;93;4164
ND_NC1834;GCA_033898245.1;92;4174
ND_NC1835;GCA_033898265.1;92;4062
ND_NC1836;GCA_033898285.1;90;4172
ND_NC1837;GCA_033903505.1;88;4321
ND_NC1838;GCA_033939465.1;84;4071
ND_NC1839;GCA_033939485.1;92;4098
ND_NC1840;GCA_033939545.1;91;4055
ND_NC1841;GCA_033939585.1;96;3941
ND_NC1842;GCA_033939605.1;96;4220
ND_NC1843;GCA_033939685.1;90;4419
ND_NC1844;GCA_033939705.1;94;4173
ND_NC1845;GCA_033939725.1;86;4165
ND_NC1846;GCA_033939745.1;84;4002
ND_NC1847;GCA_033939765.1;92;4236
ND_NC1848;GCA_033939785.1;93;4157
ND_NC1849;GCA_033940245.1;88;4263
ND_NC1850;GCA_033940285.1;90;4192
ND_NC1851;GCA_033940305.1;83;4244
ND_NC1852;GCA_033940365.1;88;4259
ND_NC1853;GCA_033940425.1;89;4018
ND_NC1854;GCA_033940485.1;92;4253
ND_NC1855;GCA_033940505.1;93;4117
ND_NC1856;GCA_033940525.1;87;4226
ND_NC1857;GCA_033940545.1;86;4224
ND_NC1858;GCA_033940585.1;89;4279
ND_NC1859;GCA_033940905.1;91;4118
ND_NC1860;GCA_033940925.1;85;4058
ND_NC1861;GCA_033940945.1;92;4277
ND_NC1862;GCA_033940985.1;90;4211
ND_NC1863;GCA_033941085.1;93;4201
ND_NC1864;GCA_033941265.1;87;4098
ND_NC1865;GCA_033941305.1;87;4075
ND_NC1866;GCA_033941345.1;92;4102
ND_NC1867;GCA_033941365.1;86;4184
ND_NC1868;GCA_033941385.1;91;4137
ND_NC1869;GCA_033941405.1;92;4076
ND_NC1870;GCA_033941425.1;90;4504
ND_NC1871;GCA_033941445.1;93;4077
ND_NC1872;GCA_033941465.1;92;4203
ND_NC1873;GCA_033941485.1;89;4083
ND_NC1874;GCA_033941505.1;92;4230
ND_NC1875;GCA_033942145.1;95;4113
ND_NC1876;GCA_033942245.1;90;4210
ND_NC1877;GCA_033942285.1;86;4316
ND_NC1878;GCA_033942305.1;90;4406
ND_NC1879;GCA_033942405.1;84;4063
ND_NC1880;GCA_033942445.1;89;4337
ND_NC1881;GCA_033942465.1;90;4152
ND_NC1882;GCA_033942485.1;93;3981
ND_NC1883;GCA_033942505.1;92;4182
ND_NC1884;GCA_033942525.1;91;4213
ND_NC1885;GCA_033942565.1;90;3943
ND_NC1886;GCA_033942585.1;91;4223
ND_NC1887;GCA_033942625.1;89;4012
ND_NC1888;GCA_033942645.1;88;4052
ND_NC1889;GCA_033942665.1;87;4023
ND_NC1890;GCA_033942685.1;93;4307
ND_NC1891;GCA_033942705.1;88;4260
ND_NC1892;GCA_033942725.1;90;4384
ND_NC1893;GCA_033942745.1;89;4123
ND_NC1894;GCA_033942765.1;90;4093
ND_NC1895;GCA_033942785.1;84;4171
ND_NC1896;GCA_033942805.1;87;4316
ND_NC1897;GCA_033942825.1;92;4165
ND_NC1898;GCA_033942925.1;89;4068
ND_NC1899;GCA_033943025.1;87;4182
ND_NC1900;GCA_033943065.1;93;4247
ND_NC1901;GCA_033943105.1;88;4350
ND_NC1902;GCA_033943125.1;93;3983
ND_NC1903;GCA_033943145.1;87;4102
ND_NC1904;GCA_033943165.1;93;4222
ND_NC1905;GCA_033943185.1;93;4106
ND_NC1906;GCA_033943205.1;91;4038
ND_NC1907;GCA_033943225.1;90;4228
ND_NC1908;GCA_033943245.1;91;4181
ND_NC1909;GCA_033943605.1;83;4093
ND_NC1910;GCA_033943645.1;90;3973
ND_NC1911;GCA_033943665.1;96;4100
ND_NC1912;GCA_033943685.1;92;4098
ND_NC1913;GCA_033943725.1;87;4158
ND_NC1914;GCA_033943765.1;89;4029
ND_NC1915;GCA_033943785.1;88;4256
ND_NC1916;GCA_033943805.1;89;4013
ND_NC1917;GCA_033943845.1;81;4092
ND_NC1918;GCA_033943865.1;88;4034
ND_NC1919;GCA_033943885.1;88;4275
ND_NC1920;GCA_033943905.1;90;4029
ND_NC1921;GCA_033943925.1;85;4173
ND_NC1922;GCA_033943945.1;87;4046
ND_NC1923;GCA_033943965.1;86;4028
ND_NC1924;GCA_033944005.1;88;4116
ND_NC1925;GCA_033944025.1;91;4205
ND_NC1926;GCA_033944065.1;92;4076
ND_NC1927;GCA_033944085.1;93;4230
ND_NC1928;GCA_033944165.1;87;4083
ND_NC1929;GCA_033944245.1;89;3907
ND_NC1930;GCA_033944265.1;88;4103
ND_NC1931;GCA_033944285.1;87;4076
ND_NC1932;GCA_033944325.1;92;4079
ND_NC1933;GCA_033944405.1;92;4260
ND_NC1934;GCA_033944445.1;92;4172
ND_NC1935;GCA_033944465.1;85;4047
ND_NC1936;GCA_033944485.1;88;4037
ND_NC1937;GCA_033944505.1;87;4075
ND_NC1938;GCA_033944525.1;87;3951
ND_NC1939;GCA_033944605.1;82;4210
ND_NC1940;GCA_033944625.1;92;4045
ND_NC1941;GCA_033944665.1;91;4385
ND_NC1942;GCA_033944685.1;85;4280
ND_NC1943;GCA_033944745.1;89;4166
ND_NC1944;GCA_033944765.1;86;4163
ND_NC1945;GCA_033944805.1;89;4052
ND_NC1946;GCA_033944825.1;97;4339
ND_NC1947;GCA_033944835.1;83;4049
ND_NC1948;GCA_033944865.1;92;4097
ND_NC1949;GCA_033944885.1;97;4145
ND_NC1950;GCA_033944925.1;88;4331
ND_NC1951;GCA_033944945.1;91;4159
ND_NC1952;GCA_033944985.1;96;4242
ND_NC1953;GCA_033945005.1;91;3980
ND_NC1954;GCA_033945065.1;87;4076
ND_NC1955;GCA_033945075.1;93;4233
ND_NC1956;GCA_033945105.1;87;4190
ND_NC1957;GCA_033945145.1;90;4075
ND_NC1958;GCA_033945165.1;88;4207
ND_NC1959;GCA_033945185.1;86;4122
ND_NC1960;GCA_033945205.1;88;4187
ND_NC1961;GCA_033945405.1;91;4099
ND_NC1962;GCA_033945425.1;91;4054
ND_NC1963;GCA_033945485.1;83;4070
ND_NC1964;GCA_033946545.1;84;3955
ND_NC1965;GCA_033946565.1;90;3988
ND_NC1966;GCA_033946585.1;86;4126
ND_NC1967;GCA_033946605.1;87;4032
ND_NC1968;GCA_033946625.1;90;4146
ND_NC1969;GCA_033946645.1;92;4237
ND_NC1970;GCA_033946665.1;91;4200
ND_NC1971;GCA_033946685.1;87;4042
ND_NC1972;GCA_033946705.1;89;4255
ND_NC1973;GCA_033946745.1;83;4243
ND_NC1974;GCA_033946765.1;91;4119
ND_NC1975;GCA_033946785.1;88;4164
ND_NC1976;GCA_033946805.1;93;4203
ND_NC1977;GCA_033946825.1;89;4078
ND_NC1978;GCA_033946845.1;87;4022
ND_NC1979;GCA_033946865.1;93;4244
ND_NC1980;GCA_033946885.1;91;3954
ND_NC1981;GCA_033946925.1;89;4161
ND_NC1982;GCA_033946965.1;86;4120
ND_NC1983;GCA_033946985.1;88;4033
ND_NC1984;GCA_033947005.1;88;4061
ND_NC1985;GCA_033947025.1;88;4183
ND_NC1986;GCA_033947045.1;92;4226
ND_NC1987;GCA_033947065.1;87;4022
ND_NC1988;GCA_033947085.1;91;4082
ND_NC1989;GCA_033947105.1;86;4019
ND_NC1990;GCA_033947125.1;89;3996
ND_NC1991;GCA_033947145.1;87;4154
ND_NC1992;GCA_033947165.1;90;4051
ND_NC1993;GCA_033947185.1;87;4049
ND_NC1994;GCA_033947205.1;89;4253
ND_NC1995;GCA_033947225.1;87;4389
ND_NC1996;GCA_033947245.1;89;4100
ND_NC1997;GCA_033947265.1;96;4088
ND_NC1998;GCA_033947305.1;91;4121
ND_NC1999;GCA_033960345.1;88;4085
ND_NC2000;GCA_033960365.1;91;4064
ND_NC2001;GCA_033960425.1;94;4161
ND_NC2002;GCA_033960465.1;86;4210
ND_NC2003;GCA_033960485.1;89;4151
ND_NC2004;GCA_033960525.1;95;4317
ND_NC2005;GCA_033960545.1;90;4069
ND_NC2006;GCA_033960565.1;91;4198
ND_NC2007;GCA_033960605.1;91;4370
ND_NC2008;GCA_033960625.1;88;4137
ND_NC2009;GCA_033960645.1;90;4300
ND_NC2010;GCA_033960665.1;87;4152
ND_NC2011;GCA_033960685.1;89;4360
ND_NC2012;GCA_033960705.1;89;4165
ND_NC2013;GCA_033960765.1;89;4106
ND_NC2014;GCA_033960825.1;91;3955
ND_NC2015;GCA_033960845.1;92;4091
ND_NC2016;GCA_033960865.1;93;4105
ND_NC2017;GCA_033960885.1;90;4111
ND_NC2018;GCA_033960905.1;96;4036
ND_NC2019;GCA_033960925.1;88;4238
ND_NC2020;GCA_033960945.1;88;4258
ND_NC2021;GCA_033960965.1;87;4097
ND_NC2022;GCA_033961005.1;89;4022
ND_NC2023;GCA_033961025.1;93;4043
ND_NC2024;GCA_033961045.1;89;3942
ND_NC2025;GCA_033961065.1;91;4299
ND_NC2026;GCA_033961085.1;88;4243
ND_NC2027;GCA_033961095.1;92;4034
ND_NC2028;GCA_033961145.1;88;4092
ND_NC2029;GCA_033961165.1;86;4217
ND_NC2030;GCA_033961205.1;87;4069
ND_NC2031;GCA_033961265.1;88;4217
ND_NC2032;GCA_033961285.1;88;4134
ND_NC2033;GCA_033961325.1;90;4045
ND_NC2034;GCA_033961405.1;85;3932
ND_NC2035;GCA_033961425.1;94;4039
ND_NC2036;GCA_033961605.1;86;4174
ND_NC2037;GCA_033961855.1;93;4134
ND_NC2038;GCA_033961875.1;93;4083
ND_NC2039;GCA_033961895.1;89;4121
ND_NC2040;GCA_033961905.1;91;4237
ND_NC2041;GCA_033961955.1;87;4127
ND_NC2042;GCA_033962055.1;96;4173
ND_NC2043;GCA_033962095.1;89;4013
ND_NC2044;GCA_033962115.1;91;4214
ND_NC2045;GCA_033962355.1;90;4100
ND_NC2046;GCA_033962395.1;86;3999
ND_NC2047;GCA_033962435.1;93;4117
ND_NC2048;GCA_033962515.1;90;4170
ND_NC2049;GCA_033962555.1;87;4233
ND_NC2050;GCA_033962575.1;91;4124
ND_NC2051;GCA_033962595.1;91;4357
ND_NC2052;GCA_033962615.1;86;4462
ND_NC2053;GCA_033962635.1;90;4225
ND_NC2054;GCA_033962695.1;88;4126
ND_NC2055;GCA_033962715.1;88;4030
ND_NC2056;GCA_033962735.1;89;4095
ND_NC2057;GCA_033962775.1;86;3984
ND_NC2058;GCA_033962855.1;90;4067
ND_NC2059;GCA_033962875.1;88;4159
ND_NC2060;GCA_033962965.1;86;4237
ND_NC2061;GCA_033962985.1;88;4133
ND_NC2062;GCA_033963045.1;83;3973
ND_NC2063;GCA_033963105.1;89;4216
ND_NC2064;GCA_033963265.1;87;3982
ND_NC2065;GCA_033963275.1;96;4381
ND_NC2066;GCA_033963305.1;88;3969
ND_NC2067;GCA_033963325.1;90;4236
ND_NC2068;GCA_033963345.1;89;4209
ND_NC2069;GCA_033963405.1;85;4248
ND_NC2070;GCA_033963445.1;84;4018
ND_NC2071;GCA_033963455.1;93;4031
ND_NC2072;GCA_033963505.1;89;4192
ND_NC2073;GCA_033963525.1;85;3975
ND_NC2074;GCA_033963545.1;86;4373
ND_NC2075;GCA_033963565.1;89;4205
ND_NC2076;GCA_033963585.1;85;4064
ND_NC2077;GCA_033963605.1;91;4348
ND_NC2078;GCA_033963625.1;88;4149
ND_NC2079;GCA_033963645.1;91;4083
ND_NC2080;GCA_033963665.1;95;4227
ND_NC2081;GCA_033963685.1;82;4206
ND_NC2082;GCA_033963705.1;94;4014
ND_NC2083;GCA_033963725.1;95;4118
ND_NC2084;GCA_033963745.1;84;4021
ND_NC2085;GCA_033972185.1;94;4082
ND_NC2086;GCA_033972305.1;92;4091
ND_NC2087;GCA_033972345.1;91;4329
ND_NC2088;GCA_033972365.1;95;4265
ND_NC2089;GCA_033972405.1;91;4193
ND_NC2090;GCA_033972605.1;92;4043
ND_NC2091;GCA_033972705.1;91;4077
ND_NC2092;GCA_033972745.1;89;3960
ND_NC2093;GCA_033972765.1;91;4246
ND_NC2094;GCA_033973965.1;90;4113
ND_NC2095;GCA_034030055.1;90;4082
ND_NC2096;GCA_034030095.1;93;4179
ND_NC2097;GCA_034030155.1;89;4047
ND_NC2098;GCA_034030215.1;91;4113
ND_NC2099;GCA_034097435.1;95;4238
ND_NC2100;GCA_034144125.1;90;4126
ND_NC2101;GCA_034150805.1;92;4056
ND_NC2102;GCA_034328365.1;90;4049
ND_NC2103;GCA_034331495.1;92;4280
ND_NC2104;GCA_034350625.1;92;4310
ND_NC2105;GCA_034408485.1;92;4198
ND_NC2106;GCA_034408545.1;92;4075
ND_NC2107;GCA_034408565.1;87;4040
ND_NC2108;GCA_034574675.1;78;4331
ND_NC2109;GCA_034574695.1;87;4399
ND_NC2110;GCA_034835815.1;84;4154
ND_NC2111;GCA_034835835.1;85;4138
ND_NC2112;GCA_034835855.1;77;4166
ND_NC2113;GCA_034835875.1;87;3979
ND_NC2114;GCA_034835895.1;86;4215
ND_NC2115;GCA_034835915.1;84;4031
ND_NC2116;GCA_034835935.1;86;4092
ND_NC2117;GCA_034835975.1;91;4140
ND_NC2118;GCA_034836035.1;86;4143
ND_NC2119;GCA_034836115.1;90;4212
ND_NC2120;GCA_034836135.1;88;4188
ND_NC2121;GCA_034836175.1;91;3948
ND_NC2122;GCA_034836195.1;88;4124
ND_NC2123;GCA_034836215.1;89;4161
ND_NC2124;GCA_034836255.1;89;4161
ND_NC2125;GCA_034836275.1;89;4019
ND_NC2126;GCA_034836295.1;81;4156
ND_NC2127;GCA_034836315.1;88;4194
ND_NC2128;GCA_034836335.1;90;4429
ND_NC2129;GCA_034836355.1;84;4037
ND_NC2130;GCA_034836375.1;87;4131
ND_NC2131;GCA_034836395.1;85;4019
ND_NC2132;GCA_034836415.1;88;4019
ND_NC2133;GCA_034836435.1;92;4331
ND_NC2134;GCA_034836455.1;84;4210
ND_NC2135;GCA_034836475.1;89;4175
ND_NC2136;GCA_034836495.1;84;4152
ND_NC2137;GCA_034836515.1;87;4100
ND_NC2138;GCA_034836535.1;85;4106
ND_NC2139;GCA_034836555.1;82;4147
ND_NC2140;GCA_034836575.1;88;4491
ND_NC2141;GCA_034836595.1;89;4159
ND_NC2142;GCA_034836615.1;86;4144
ND_NC2143;GCA_034836635.1;87;4137
ND_NC2144;GCA_034836655.1;84;4134
ND_NC2145;GCA_034836675.1;87;4107
ND_NC2146;GCA_034836695.1;89;4056
ND_NC2147;GCA_034836715.1;85;4128
ND_NC2148;GCA_034836735.1;81;4079
ND_NC2149;GCA_034836755.1;94;4293
ND_NC2150;GCA_034836775.1;85;4012
ND_NC2151;GCA_034836795.1;90;4298
ND_NC2152;GCA_034836815.1;89;4355
ND_NC2153;GCA_034836835.1;88;4210
ND_NC2154;GCA_034836855.1;83;4213
ND_NC2155;GCA_034836875.1;89;4447
ND_NC2156;GCA_034836895.1;90;4346
ND_NC2157;GCA_034836915.1;90;4163
ND_NC2158;GCA_034837025.1;96;4039
ND_NC2159;GCA_034837055.1;91;4342
ND_NC2160;GCA_034837065.1;90;4243
ND_NC2161;GCA_034837095.1;87;4053
ND_NC2162;GCA_034837115.1;89;4520
ND_NC2163;GCA_034837135.1;93;4185
ND_NC2164;GCA_034837155.1;84;4001
ND_NC2165;GCA_034837175.1;90;4157
ND_NC2166;GCA_034837195.1;87;4274
ND_NC2167;GCA_034837215.1;89;4255
ND_NC2168;GCA_034837235.1;89;4105
ND_NC2169;GCA_034837255.1;88;4107
ND_NC2170;GCA_034837275.1;90;4298
ND_NC2171;GCA_034837295.1;91;4339
ND_NC2172;GCA_034838455.1;90;4049
ND_NC2173;GCA_034838475.1;88;4024
ND_NC2174;GCA_034838495.1;87;4130
ND_NC2175;GCA_034838515.1;83;4137
ND_NC2176;GCA_034838535.1;86;4108
ND_NC2177;GCA_034839155.1;89;4228
ND_NC2178;GCA_035779375.1;87;4440
ND_NC2179;GCA_035779395.1;89;4281
ND_NC2180;GCA_035779415.1;88;4523
ND_NC2181;GCA_035779435.1;88;4316
ND_NC2182;GCA_035779455.1;88;4190
ND_NC2183;GCA_035779475.1;91;4151
ND_NC2184;GCA_035779495.1;90;4623
ND_NC2185;GCA_035779515.1;85;4157
ND_NC2186;GCA_035779555.1;86;4271
ND_NC2187;GCA_035779615.1;88;4273
ND_NC2188;GCA_035779735.1;88;4197
ND_NC2189;GCA_035779755.1;89;4126
ND_NC2190;GCA_035779775.1;85;4408
ND_NC2191;GCA_035779815.1;87;4041
ND_NC2192;GCA_035780915.1;92;4205
ND_NC2193;GCA_035796115.1;90;4070
ND_NC2194;GCA_035867935.1;83;4079
ND_NC2195;GCA_035867955.1;90;4439
ND_NC2196;GCA_035867975.1;85;4368
ND_NC2197;GCA_035867995.1;87;4317
ND_NC2198;GCA_035868015.1;86;4494
ND_NC2199;GCA_035868035.1;87;4361
ND_NC2200;GCA_035868055.1;85;4281
ND_NC2201;GCA_035868075.1;89;4335
ND_NC2202;GCA_035868095.1;86;4349
ND_NC2203;GCA_035868115.1;86;4301
ND_NC2204;GCA_035870655.1;89;4342
ND_NC2205;GCA_035870695.1;88;4457
ND_NC2206;GCA_035870755.1;86;4495
ND_NC2207;GCA_035871855.1;83;4014
ND_NC2208;GCA_035871875.1;86;4441
ND_NC2209;GCA_035871935.1;83;4335
ND_NC2210;GCA_035872815.1;86;4455
ND_NC2211;GCA_035872835.1;87;4180
ND_NC2212;GCA_035873675.1;86;4495
ND_NC2213;GCA_035874395.1;86;4279
ND_NC2214;GCA_035874855.1;88;4050
ND_NC2215;GCA_035874875.1;86;4494
ND_NC2216;GCA_035874895.1;92;4351
ND_NC2217;GCA_035874915.1;83;4391
ND_NC2218;GCA_035880915.1;95;4353
ND_NC2219;GCA_035890995.1;90;4291
ND_NC2220;GCA_035891035.1;88;4208
ND_NC2221;GCA_035891055.1;88;4209
ND_NC2222;GCA_035891075.1;52;4317
ND_NC2223;GCA_035891135.1;84;4301
ND_NC2224;GCA_035891155.1;88;4507
ND_NC2225;GCA_035891175.1;87;4455
ND_NC2226;GCA_035891195.1;83;4269
ND_NC2227;GCA_035891215.1;91;4612
ND_NC2228;GCA_035891235.1;86;4089
ND_NC2229;GCA_035891255.1;87;4434
ND_NC2230;GCA_035891275.1;90;4326
ND_NC2231;GCA_035891295.1;88;4217
ND_NC2232;GCA_035891315.1;91;4188
ND_NC2233;GCA_035891335.1;82;4296
ND_NC2234;GCA_035891345.1;94;4232
ND_NC2235;GCA_035891375.1;86;4238
ND_NC2236;GCA_035891395.1;87;4057
ND_NC2237;GCA_035891415.1;90;4207
ND_NC2238;GCA_035891435.1;85;4263
ND_NC2239;GCA_035891445.1;89;4308
ND_NC2240;GCA_035891475.1;88;4206
ND_NC2241;GCA_035891495.1;87;4362
ND_NC2242;GCA_035891515.1;89;4094
ND_NC2243;GCA_035891535.1;92;4277
ND_NC2244;GCA_035891555.1;92;4482
ND_NC2245;GCA_035891615.1;94;4451
ND_NC2246;GCA_035891635.1;88;4390
ND_NC2247;GCA_035891655.1;87;4149
ND_NC2248;GCA_035891675.1;91;4326
ND_NC2249;GCA_035891695.1;91;4385
ND_NC2250;GCA_035891715.1;88;4216
ND_NC2251;GCA_035891735.1;92;4513
ND_NC2252;GCA_035891755.1;86;4074
ND_NC2253;GCA_035891775.1;92;4268
ND_NC2254;GCA_035891795.1;90;4024
ND_NC2255;GCA_035891815.1;86;4031
ND_NC2256;GCA_035891835.1;92;4270
ND_NC2257;GCA_035891855.1;92;4077
ND_NC2258;GCA_035891875.1;85;4008
ND_NC2259;GCA_035891895.1;90;4036
ND_NC2260;GCA_035891905.1;93;4329
ND_NC2261;GCA_035891935.1;93;4143
ND_NC2262;GCA_035891945.1;93;4030
ND_NC2263;GCA_035891975.1;88;4578
ND_NC2264;GCA_035891995.1;94;4657
ND_NC2265;GCA_035892015.1;86;4084
ND_NC2266;GCA_035892035.1;82;4235
ND_NC2267;GCA_035892055.1;94;4573
ND_NC2268;GCA_035892075.1;94;4469
ND_NC2269;GCA_035892095.1;92;4102
ND_NC2270;GCA_035892135.1;87;4392
ND_NC2271;GCA_035892155.1;93;4395
ND_NC2272;GCA_035892165.1;90;4160
ND_NC2273;GCA_035892195.1;94;4160
ND_NC2274;GCA_035892235.1;90;4440
ND_NC2275;GCA_035892255.1;88;4598
ND_NC2276;GCA_035892275.1;93;4131
ND_NC2277;GCA_035892295.1;88;4507
ND_NC2278;GCA_035892315.1;88;4558
ND_NC2279;GCA_035892335.1;87;4276
ND_NC2280;GCA_035892355.1;88;4265
ND_NC2281;GCA_035892375.1;88;4529
ND_NC2282;GCA_035892395.1;85;4305
ND_NC2283;GCA_035892415.1;88;4368
ND_NC2284;GCA_035892435.1;87;4444
ND_NC2285;GCA_035892495.1;69;4187
ND_NC2286;GCA_035892515.1;91;4320
ND_NC2287;GCA_035892535.1;90;4369
ND_NC2288;GCA_035892555.1;87;4148
ND_NC2289;GCA_035892575.1;84;4252
ND_NC2290;GCA_035892595.1;83;4549
ND_NC2291;GCA_035892615.1;92;4299
ND_NC2292;GCA_035892635.1;89;4009
ND_NC2293;GCA_035892655.1;82;4039
ND_NC2294;GCA_035892675.1;88;4338
ND_NC2295;GCA_035892685.1;87;4242
ND_NC2296;GCA_035892715.1;88;4200
ND_NC2297;GCA_035892735.1;90;4372
ND_NC2298;GCA_035892755.1;86;4324
ND_NC2299;GCA_035892775.1;89;3989
ND_NC2300;GCA_035892795.1;92;4305
ND_NC2301;GCA_035892815.1;85;4541
ND_NC2302;GCA_035892835.1;91;4403
ND_NC2303;GCA_035892855.1;89;4208
ND_NC2304;GCA_035892875.1;89;4258
ND_NC2305;GCA_035892885.1;87;4243
ND_NC2306;GCA_035893055.1;88;4353
ND_NC2307;GCA_044703045.1;91;4186
ND_NC2308;GCA_044703085.1;88;4014
ND_NC2309;GCA_044703105.1;90;4193
ND_NC2310;GCA_044703145.1;85;4229
ND_NC2311;GCA_044703165.1;93;4159
ND_NC2312;GCA_044703185.1;92;4241
ND_NC2313;GCA_044703205.1;98;4434
ND_NC2314;GCA_044703225.1;93;4193
ND_NC2315;GCA_044703245.1;94;4242
ND_NC2316;GCA_044703365.1;90;4115
ND_NC2317;GCA_044703385.1;91;4266
ND_NC2318;GCA_044703405.1;88;4038
ND_NC2319;GCA_044703425.1;85;4045
ND_NC2320;GCA_044703445.1;91;3983
ND_NC2321;GCA_044703465.1;91;4141
ND_NC2322;GCA_044703485.1;94;4307
ND_NC2323;GCA_044703505.1;91;4283
ND_NC2324;GCA_044703555.1;90;4286
ND_NC2325;GCA_044703585.1;88;4177
ND_NC2326;GCA_044703605.1;92;4196
ND_NC2327;GCA_044703625.1;91;4301
ND_NC2328;GCA_044703645.1;91;4012
ND_NC2329;GCA_044703665.1;90;4142
ND_NC2330;GCA_044703685.1;87;4058
ND_NC2331;GCA_044703705.1;98;4253
ND_NC2332;GCA_044703715.1;92;4304
ND_NC2333;GCA_044709835.1;93;4272
ND_NC2334;GCA_044709915.1;67;4390
ND_NC2335;GCA_044709935.1;91;4384
ND_NC2336;GCA_044709955.1;89;4354
ND_NC2337;GCA_044709975.1;90;4350
ND_NC2338;GCA_044709995.1;88;4361
ND_NC2339;GCA_044710015.1;93;4368
ND_NC2340;GCA_044710035.1;91;4311
ND_NC2341;GCA_044710055.1;89;4384
ND_NC2342;GCA_044710075.1;78;4405
ND_NC2343;GCA_044710095.1;74;4409
ND_NC2344;GCA_044710115.1;74;4390
ND_NC2345;GCA_044710135.1;70;4448
ND_NC2346;GCA_044710155.1;89;4374
ND_NC2347;GCA_044710215.1;61;4410
ND_NC2348;GCA_044710235.1;71;4391
ND_NC2349;GCA_044710255.1;93;4509
ND_NC2350;GCA_044710275.1;93;4127
ND_NC2351;GCA_044710295.1;92;4349
ND_NC2352;GCA_044710315.1;93;4377
ND_NC2353;GCA_044710335.1;90;4092
ND_NC2354;GCA_044710355.1;92;4571
ND_NC2355;GCA_044710375.1;89;4280
ND_NC2356;GCA_044710395.1;91;4447
ND_NC2357;GCA_044710415.1;92;4415
ND_NC2358;GCA_044710455.1;87;4322
ND_NC2359;GCA_044710475.1;93;4412
ND_NC2360;GCA_044710495.1;91;4159
ND_NC2361;GCA_044710515.1;91;4160
ND_NC2362;GCA_044710555.1;92;4438
ND_NC2363;GCA_044710575.1;87;4413
ND_NC2364;GCA_044710595.1;90;4403
ND_NC2365;GCA_044710605.1;90;4399
ND_NC2366;GCA_044710635.1;90;4324
ND_NC2367;GCA_044710655.1;91;4399
ND_NC2368;GCA_044710675.1;90;4442
ND_NC2369;GCA_044710695.1;94;4418
ND_NC2370;GCA_044710735.1;90;4195
ND_NC2371;GCA_044710755.1;92;4128
ND_NC2372;GCA_044710775.1;92;4399
ND_NC2373;GCA_044710815.1;92;4432
ND_NC2374;GCA_044710835.1;93;4269
ND_NC2375;GCA_044710855.1;90;4215
ND_NC2376;GCA_044710915.1;92;4163
ND_NC2377;GCA_044710935.1;93;4263
ND_NC2378;GCA_044710955.1;90;4230
ND_NC2379;GCA_044710995.1;90;4111
ND_NC2380;GCA_044711015.1;87;4218
ND_NC2381;GCA_044711035.1;91;4129
ND_NC2382;GCA_044711055.1;89;4213
ND_NC2383;GCA_044711095.1;87;4156
ND_NC2384;GCA_044711115.1;87;4084
ND_NC2385;GCA_044711135.1;88;4437
ND_NC2386;GCA_044711155.1;91;4148
ND_NC2387;GCA_044711175.1;88;4090
ND_NC2388;GCA_044711215.1;90;4102
ND_NC2389;GCA_044711235.1;102;4545
ND_NC2390;GCA_044711255.1;93;4372
ND_NC2391;GCA_044711275.1;92;4293
ND_NC2392;GCA_044711315.1;85;4193
ND_NC2393;GCA_044711335.1;85;4261
ND_NC2394;GCA_044711355.1;87;4272
ND_NC2395;GCA_044711375.1;87;4282
ND_NC2396;GCA_044711395.1;90;4185
ND_NC2397;GCA_044711415.1;84;4225
ND_NC2398;GCA_044711435.1;89;4161
ND_NC2399;GCA_044711445.1;73;4213
ND_NC2400;GCA_044711475.1;89;4223
ND_NC2401;GCA_044711495.1;83;4180
ND_NC2402;GCA_044711515.1;90;4235
ND_NC2403;GCA_044711535.1;89;4227
ND_NC2404;GCA_044711555.1;87;4229
ND_NC2405;GCA_044711575.1;97;4223
ND_NC2406;GCA_044711595.1;87;4489
ND_NC2407;GCA_044711635.1;94;4507
ND_NC2408;GCA_044711655.1;93;4114
ND_NC2409;GCA_044731585.1;92;4426
ND_NC2410;GCA_044731605.1;92;4405
ND_NC2411;GCA_044731625.1;92;4504
ND_NC2412;GCA_044731645.1;81;4375
ND_NC2413;GCA_044731665.1;85;4361
ND_NC2414;GCA_044731685.1;94;4337
ND_NC2415;GCA_044731705.1;87;4048
ND_NC2416;GCA_044731725.1;87;3989
ND_NC2417;GCA_044731745.1;92;4494
ND_NC2418;GCA_044731765.1;88;4192
ND_NC2419;GCA_044731785.1;90;4248
ND_NC2420;GCA_044731805.1;92;4379
ND_NC2421;GCA_044731825.1;87;4191
ND_NC2422;GCA_044731845.1;89;4014
ND_NC2423;GCA_044731865.1;94;4156
ND_NC2424;GCA_044731885.1;90;4004
ND_NC2425;GCA_044731925.1;87;4328
ND_NC2426;GCA_044731945.1;83;4202
